AvailabilityZone,BilledCost,BillingAccountId,BillingAccountName,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountType,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,InvoiceId,InvoiceIssuerName,ListCost,ListUnitPrice,PricingCategory,PricingQuantity,PricingUnit,ProviderName,PublisherName,RegionId,RegionName,ResourceId,ResourceName,ResourceType,ServiceCategory,ServiceName,SkuId,SkuPriceId,SubAccountId,SubAccountName,Tags,x_ResourceGroupName
us-central1-a,292.25,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Compute Engine usage,Usage,2026-08-01 23:59:59,2026-08-01 00:00:00,,,,,24,Hours,292.25,11.854000,292.25,INV-GOO-202608,Google,292.25,11.854000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/zones/us-central1-a/instances/analytics-worker-02,analytics-worker-02,compute/instance,Compute,Compute Engine,SKU-GCP-E16-01,SKUP-SKU-GCP-E16-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,36.30,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Compute Engine usage,Usage,2026-08-01 23:59:59,2026-08-01 00:00:00,,,,,24,Hours,36.30,1.479000,36.30,INV-GOO-202608,Google,36.30,1.479000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/zones/us-central1-b/instances/batch-worker-01,batch-worker-01,compute/instance,Compute,Compute Engine,SKU-GCP-D2-01,SKUP-SKU-GCP-D2-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,45.35,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Cloud Storage usage,Usage,2026-08-01 23:59:59,2026-08-01 00:00:00,,,,,2300,GB-Mo,45.35,0.020000,45.35,INV-GOO-202608,Google,45.35,0.020000,OnDemand,2300,GB-Mo,Google,Google,us-central1,us-central1,projects/prod-analytics/buckets/analytics-lakehouse,analytics-lakehouse,storage/bucket,Storage,Cloud Storage,SKU-GCP-GCS-01,SKUP-SKU-GCP-GCS-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,95.00,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Cloud SQL usage,Usage,2026-08-01 23:59:59,2026-08-01 00:00:00,,,,,24,Hours,95.00,3.958000,95.00,INV-GOO-202608,Google,95.00,3.958000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/instances/analytics-db-01,analytics-db-01,sql/database,Database,Cloud SQL,SKU-GCP-SQL-01,SKUP-SKU-GCP-SQL-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
eastus-a,176.53,BA-AZ-002,Enterprise Microsoft,USD,2026-08-31,2026-08-01,Usage,,Virtual Machines usage,Usage,2026-08-01 23:59:59,2026-08-01 00:00:00,,,,,24,Hours,176.53,7.500000,176.53,INV-MIC-202608,Microsoft,176.53,7.500000,OnDemand,24,Hours,Microsoft,Microsoft,eastus,eastus,/subscriptions/sub-az-core-services/resourceGroups/rg-core-services/providers/Microsoft.Compute/virtualMachines/core-app-vm1,core-app-vm1,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,SKU-AZ-D4S,SKUP-SKU-AZ-D4S,sub-az-core-services,core-services,"{""team"": ""core-services"", ""provider"": ""Microsoft"", ""env"": ""prod""}",rg-core-services
eastus-a,368.91,BA-AZ-002,Enterprise Microsoft,USD,2026-08-31,2026-08-01,Usage,,Virtual Machines usage,Usage,2026-08-01 23:59:59,2026-08-01 00:00:00,,,,,24,Hours,368.91,15.000000,368.91,INV-MIC-202608,Microsoft,368.91,15.000000,OnDemand,24,Hours,Microsoft,Microsoft,eastus,eastus,/subscriptions/sub-az-core-services/resourceGroups/rg-core-services/providers/Microsoft.Compute/virtualMachines/core-app-vm2,core-app-vm2,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,SKU-AZ-E8S,SKUP-SKU-AZ-E8S,sub-az-core-services,core-services,"{""team"": ""core-services"", ""provider"": ""Microsoft"", ""env"": ""prod""}",rg-core-services
eastus-a,56.22,BA-AZ-002,Enterprise Microsoft,USD,2026-08-31,2026-08-01,Usage,,SQL Database usage,Usage,2026-08-01 23:59:59,2026-08-01 00:00:00,,,,,24,Hours,56.22,2.292000,56.22,INV-MIC-202608,Microsoft,56.22,2.292000,OnDemand,24,Hours,Microsoft,Microsoft,eastus,eastus,/subscriptions/sub-az-core-services/resourceGroups/rg-core-services/providers/Microsoft.Sql/servers/sql-core/databases/db-core,db-core,Microsoft.Sql/servers/databases,Database,SQL Database,SKU-AZ-SQL-GP,SKUP-SKU-AZ-SQL-GP,sub-az-core-services,core-services,"{""team"": ""core-services"", ""provider"": ""Microsoft"", ""env"": ""prod""}",rg-core-services
us-east-1-a,207.46,BA-AWS-003,Enterprise AWS,USD,2026-08-31,2026-08-01,Usage,,Amazon Elastic Compute Cloud usage,Usage,2026-08-01 23:59:59,2026-08-01 00:00:00,,,,,24,Hours,207.46,8.750000,207.46,INV-AWS-202608,AWS,207.46,8.750000,OnDemand,24,Hours,AWS,AWS,us-east-1,us-east-1,arn:aws:ec2:us-east-1:123456789012:instance/i-0a1b2c3d4e5f6g7h8,marketing-worker-01,AWS::EC2::Instance,Compute,Amazon Elastic Compute Cloud,SKU-AWS-M5-2XL,SKUP-SKU-AWS-M5-2XL,sub-aws-marketing,marketing-ai,"{""team"": ""marketing-ai"", ""provider"": ""AWS"", ""env"": ""prod""}",rg-marketing-prod
us-east-1-a,65.54,BA-AWS-003,Enterprise AWS,USD,2026-08-31,2026-08-01,Usage,,Amazon Simple Storage Service usage,Usage,2026-08-01 23:59:59,2026-08-01 00:00:00,,,,,2826,GB-Mo,65.54,0.023000,65.54,INV-AWS-202608,AWS,65.54,0.023000,OnDemand,2826,GB-Mo,AWS,AWS,us-east-1,us-east-1,arn:aws:s3:::marketing-assets-prod,marketing-assets-prod,AWS::S3::Bucket,Storage,Amazon Simple Storage Service,SKU-AWS-S3-STD,SKUP-SKU-AWS-S3-STD,sub-aws-marketing,marketing-ai,"{""team"": ""marketing-ai"", ""provider"": ""AWS"", ""env"": ""prod""}",rg-marketing-prod
us-east-1-a,120.78,BA-AWS-003,Enterprise AWS,USD,2026-08-31,2026-08-01,Usage,,Amazon Relational Database Service usage,Usage,2026-08-01 23:59:59,2026-08-01 00:00:00,,,,,24,Hours,120.78,5.000000,120.78,INV-AWS-202608,AWS,120.78,5.000000,OnDemand,24,Hours,AWS,AWS,us-east-1,us-east-1,arn:aws:rds:us-east-1:123456789012:db:marketing-db,marketing-db,AWS::RDS::DBInstance,Database,Amazon Relational Database Service,SKU-AWS-RDS-M5L,SKUP-SKU-AWS-RDS-M5L,sub-aws-marketing,marketing-ai,"{""team"": ""marketing-ai"", ""provider"": ""AWS"", ""env"": ""prod""}",rg-marketing-prod
us-ashburn-1-a,83.23,BA-OCI-004,Enterprise Oracle,USD,2026-08-31,2026-08-01,Usage,,OCI Compute usage,Usage,2026-08-01 23:59:59,2026-08-01 00:00:00,,,,,24,Hours,83.23,3.542000,83.23,INV-ORA-202608,Oracle,83.23,3.542000,OnDemand,24,Hours,Oracle,Oracle,us-ashburn-1,us-ashburn-1,ocid1.instance.oc1.iad.anuwcljrn7x01,oci-worker-01,oci:compute:instance,Compute,OCI Compute,SKU-OCI-E4-FLEX,SKUP-SKU-OCI-E4-FLEX,sub-oci-dw,data-platform,"{""team"": ""data-platform"", ""provider"": ""Oracle"", ""env"": ""prod""}",rg-oci-dw
us-central1-a,144.49,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Compute Engine usage,Usage,2026-08-02 23:59:59,2026-08-02 00:00:00,,,,,24,Hours,144.49,5.927000,144.49,INV-GOO-202608,Google,144.49,5.927000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/zones/us-central1-a/instances/analytics-worker-01,analytics-worker-01,compute/instance,Compute,Compute Engine,SKU-GCP-N2-01,SKUP-SKU-GCP-N2-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,285.17,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Compute Engine usage,Usage,2026-08-02 23:59:59,2026-08-02 00:00:00,,,,,24,Hours,285.17,11.854000,285.17,INV-GOO-202608,Google,285.17,11.854000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/zones/us-central1-a/instances/analytics-worker-02,analytics-worker-02,compute/instance,Compute,Compute Engine,SKU-GCP-E16-01,SKUP-SKU-GCP-E16-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,36.09,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Compute Engine usage,Usage,2026-08-02 23:59:59,2026-08-02 00:00:00,,,,,24,Hours,36.09,1.479000,36.09,INV-GOO-202608,Google,36.09,1.479000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/zones/us-central1-b/instances/batch-worker-01,batch-worker-01,compute/instance,Compute,Compute Engine,SKU-GCP-D2-01,SKUP-SKU-GCP-D2-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,46.08,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Cloud Storage usage,Usage,2026-08-02 23:59:59,2026-08-02 00:00:00,,,,,2300,GB-Mo,46.08,0.020000,46.08,INV-GOO-202608,Google,46.08,0.020000,OnDemand,2300,GB-Mo,Google,Google,us-central1,us-central1,projects/prod-analytics/buckets/analytics-lakehouse,analytics-lakehouse,storage/bucket,Storage,Cloud Storage,SKU-GCP-GCS-01,SKUP-SKU-GCP-GCS-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,92.15,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Cloud SQL usage,Usage,2026-08-02 23:59:59,2026-08-02 00:00:00,,,,,24,Hours,92.15,3.958000,92.15,INV-GOO-202608,Google,92.15,3.958000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/instances/analytics-db-01,analytics-db-01,sql/database,Database,Cloud SQL,SKU-GCP-SQL-01,SKUP-SKU-GCP-SQL-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
eastus-a,178.10,BA-AZ-002,Enterprise Microsoft,USD,2026-08-31,2026-08-01,Usage,,Virtual Machines usage,Usage,2026-08-02 23:59:59,2026-08-02 00:00:00,,,,,24,Hours,178.10,7.500000,178.10,INV-MIC-202608,Microsoft,178.10,7.500000,OnDemand,24,Hours,Microsoft,Microsoft,eastus,eastus,/subscriptions/sub-az-core-services/resourceGroups/rg-core-services/providers/Microsoft.Compute/virtualMachines/core-app-vm1,core-app-vm1,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,SKU-AZ-D4S,SKUP-SKU-AZ-D4S,sub-az-core-services,core-services,"{""team"": ""core-services"", ""provider"": ""Microsoft"", ""env"": ""prod""}",rg-core-services
eastus-a,349.62,BA-AZ-002,Enterprise Microsoft,USD,2026-08-31,2026-08-01,Usage,,Virtual Machines usage,Usage,2026-08-02 23:59:59,2026-08-02 00:00:00,,,,,24,Hours,349.62,15.000000,349.62,INV-MIC-202608,Microsoft,349.62,15.000000,OnDemand,24,Hours,Microsoft,Microsoft,eastus,eastus,/subscriptions/sub-az-core-services/resourceGroups/rg-core-services/providers/Microsoft.Compute/virtualMachines/core-app-vm2,core-app-vm2,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,SKU-AZ-E8S,SKUP-SKU-AZ-E8S,sub-az-core-services,core-services,"{""team"": ""core-services"", ""provider"": ""Microsoft"", ""env"": ""prod""}",rg-core-services
eastus-a,56.42,BA-AZ-002,Enterprise Microsoft,USD,2026-08-31,2026-08-01,Usage,,SQL Database usage,Usage,2026-08-02 23:59:59,2026-08-02 00:00:00,,,,,24,Hours,56.42,2.292000,56.42,INV-MIC-202608,Microsoft,56.42,2.292000,OnDemand,24,Hours,Microsoft,Microsoft,eastus,eastus,/subscriptions/sub-az-core-services/resourceGroups/rg-core-services/providers/Microsoft.Sql/servers/sql-core/databases/db-core,db-core,Microsoft.Sql/servers/databases,Database,SQL Database,SKU-AZ-SQL-GP,SKUP-SKU-AZ-SQL-GP,sub-az-core-services,core-services,"{""team"": ""core-services"", ""provider"": ""Microsoft"", ""env"": ""prod""}",rg-core-services
us-east-1-a,214.77,BA-AWS-003,Enterprise AWS,USD,2026-08-31,2026-08-01,Usage,,Amazon Elastic Compute Cloud usage,Usage,2026-08-02 23:59:59,2026-08-02 00:00:00,,,,,24,Hours,214.77,8.750000,214.77,INV-AWS-202608,AWS,214.77,8.750000,OnDemand,24,Hours,AWS,AWS,us-east-1,us-east-1,arn:aws:ec2:us-east-1:123456789012:instance/i-0a1b2c3d4e5f6g7h8,marketing-worker-01,AWS::EC2::Instance,Compute,Amazon Elastic Compute Cloud,SKU-AWS-M5-2XL,SKUP-SKU-AWS-M5-2XL,sub-aws-marketing,marketing-ai,"{""team"": ""marketing-ai"", ""provider"": ""AWS"", ""env"": ""prod""}",rg-marketing-prod
us-east-1-a,66.29,BA-AWS-003,Enterprise AWS,USD,2026-08-31,2026-08-01,Usage,,Amazon Simple Storage Service usage,Usage,2026-08-02 23:59:59,2026-08-02 00:00:00,,,,,2826,GB-Mo,66.29,0.023000,66.29,INV-AWS-202608,AWS,66.29,0.023000,OnDemand,2826,GB-Mo,AWS,AWS,us-east-1,us-east-1,arn:aws:s3:::marketing-assets-prod,marketing-assets-prod,AWS::S3::Bucket,Storage,Amazon Simple Storage Service,SKU-AWS-S3-STD,SKUP-SKU-AWS-S3-STD,sub-aws-marketing,marketing-ai,"{""team"": ""marketing-ai"", ""provider"": ""AWS"", ""env"": ""prod""}",rg-marketing-prod
us-east-1-a,118.61,BA-AWS-003,Enterprise AWS,USD,2026-08-31,2026-08-01,Usage,,Amazon Relational Database Service usage,Usage,2026-08-02 23:59:59,2026-08-02 00:00:00,,,,,24,Hours,118.61,5.000000,118.61,INV-AWS-202608,AWS,118.61,5.000000,OnDemand,24,Hours,AWS,AWS,us-east-1,us-east-1,arn:aws:rds:us-east-1:123456789012:db:marketing-db,marketing-db,AWS::RDS::DBInstance,Database,Amazon Relational Database Service,SKU-AWS-RDS-M5L,SKUP-SKU-AWS-RDS-M5L,sub-aws-marketing,marketing-ai,"{""team"": ""marketing-ai"", ""provider"": ""AWS"", ""env"": ""prod""}",rg-marketing-prod
us-ashburn-1-a,82.75,BA-OCI-004,Enterprise Oracle,USD,2026-08-31,2026-08-01,Usage,,OCI Compute usage,Usage,2026-08-02 23:59:59,2026-08-02 00:00:00,,,,,24,Hours,82.75,3.542000,82.75,INV-ORA-202608,Oracle,82.75,3.542000,OnDemand,24,Hours,Oracle,Oracle,us-ashburn-1,us-ashburn-1,ocid1.instance.oc1.iad.anuwcljrn7x01,oci-worker-01,oci:compute:instance,Compute,OCI Compute,SKU-OCI-E4-FLEX,SKUP-SKU-OCI-E4-FLEX,sub-oci-dw,data-platform,"{""team"": ""data-platform"", ""provider"": ""Oracle"", ""env"": ""prod""}",rg-oci-dw
us-central1-a,145.48,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Compute Engine usage,Usage,2026-08-03 23:59:59,2026-08-03 00:00:00,,,,,24,Hours,145.48,5.927000,145.48,INV-GOO-202608,Google,145.48,5.927000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/zones/us-central1-a/instances/analytics-worker-01,analytics-worker-01,compute/instance,Compute,Compute Engine,SKU-GCP-N2-01,SKUP-SKU-GCP-N2-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,292.13,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Compute Engine usage,Usage,2026-08-03 23:59:59,2026-08-03 00:00:00,,,,,24,Hours,292.13,11.854000,292.13,INV-GOO-202608,Google,292.13,11.854000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/zones/us-central1-a/instances/analytics-worker-02,analytics-worker-02,compute/instance,Compute,Compute Engine,SKU-GCP-E16-01,SKUP-SKU-GCP-E16-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,34.62,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Compute Engine usage,Usage,2026-08-03 23:59:59,2026-08-03 00:00:00,,,,,24,Hours,34.62,1.479000,34.62,INV-GOO-202608,Google,34.62,1.479000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/zones/us-central1-b/instances/batch-worker-01,batch-worker-01,compute/instance,Compute,Compute Engine,SKU-GCP-D2-01,SKUP-SKU-GCP-D2-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,45.96,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Cloud Storage usage,Usage,2026-08-03 23:59:59,2026-08-03 00:00:00,,,,,2300,GB-Mo,45.96,0.020000,45.96,INV-GOO-202608,Google,45.96,0.020000,OnDemand,2300,GB-Mo,Google,Google,us-central1,us-central1,projects/prod-analytics/buckets/analytics-lakehouse,analytics-lakehouse,storage/bucket,Storage,Cloud Storage,SKU-GCP-GCS-01,SKUP-SKU-GCP-GCS-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,92.54,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Cloud SQL usage,Usage,2026-08-03 23:59:59,2026-08-03 00:00:00,,,,,24,Hours,92.54,3.958000,92.54,INV-GOO-202608,Google,92.54,3.958000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/instances/analytics-db-01,analytics-db-01,sql/database,Database,Cloud SQL,SKU-GCP-SQL-01,SKUP-SKU-GCP-SQL-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
eastus-a,182.81,BA-AZ-002,Enterprise Microsoft,USD,2026-08-31,2026-08-01,Usage,,Virtual Machines usage,Usage,2026-08-03 23:59:59,2026-08-03 00:00:00,,,,,24,Hours,182.81,7.500000,182.81,INV-MIC-202608,Microsoft,182.81,7.500000,OnDemand,24,Hours,Microsoft,Microsoft,eastus,eastus,/subscriptions/sub-az-core-services/resourceGroups/rg-core-services/providers/Microsoft.Compute/virtualMachines/core-app-vm1,core-app-vm1,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,SKU-AZ-D4S,SKUP-SKU-AZ-D4S,sub-az-core-services,core-services,"{""team"": ""core-services"", ""provider"": ""Microsoft"", ""env"": ""prod""}",rg-core-services
eastus-a,365.74,BA-AZ-002,Enterprise Microsoft,USD,2026-08-31,2026-08-01,Usage,,Virtual Machines usage,Usage,2026-08-03 23:59:59,2026-08-03 00:00:00,,,,,24,Hours,365.74,15.000000,365.74,INV-MIC-202608,Microsoft,365.74,15.000000,OnDemand,24,Hours,Microsoft,Microsoft,eastus,eastus,/subscriptions/sub-az-core-services/resourceGroups/rg-core-services/providers/Microsoft.Compute/virtualMachines/core-app-vm2,core-app-vm2,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,SKU-AZ-E8S,SKUP-SKU-AZ-E8S,sub-az-core-services,core-services,"{""team"": ""core-services"", ""provider"": ""Microsoft"", ""env"": ""prod""}",rg-core-services
eastus-a,53.77,BA-AZ-002,Enterprise Microsoft,USD,2026-08-31,2026-08-01,Usage,,SQL Database usage,Usage,2026-08-03 23:59:59,2026-08-03 00:00:00,,,,,24,Hours,53.77,2.292000,53.77,INV-MIC-202608,Microsoft,53.77,2.292000,OnDemand,24,Hours,Microsoft,Microsoft,eastus,eastus,/subscriptions/sub-az-core-services/resourceGroups/rg-core-services/providers/Microsoft.Sql/servers/sql-core/databases/db-core,db-core,Microsoft.Sql/servers/databases,Database,SQL Database,SKU-AZ-SQL-GP,SKUP-SKU-AZ-SQL-GP,sub-az-core-services,core-services,"{""team"": ""core-services"", ""provider"": ""Microsoft"", ""env"": ""prod""}",rg-core-services
us-east-1-a,209.69,BA-AWS-003,Enterprise AWS,USD,2026-08-31,2026-08-01,Usage,,Amazon Elastic Compute Cloud usage,Usage,2026-08-03 23:59:59,2026-08-03 00:00:00,,,,,24,Hours,209.69,8.750000,209.69,INV-AWS-202608,AWS,209.69,8.750000,OnDemand,24,Hours,AWS,AWS,us-east-1,us-east-1,arn:aws:ec2:us-east-1:123456789012:instance/i-0a1b2c3d4e5f6g7h8,marketing-worker-01,AWS::EC2::Instance,Compute,Amazon Elastic Compute Cloud,SKU-AWS-M5-2XL,SKUP-SKU-AWS-M5-2XL,sub-aws-marketing,marketing-ai,"{""team"": ""marketing-ai"", ""provider"": ""AWS"", ""env"": ""prod""}",rg-marketing-prod
us-east-1-a,65.19,BA-AWS-003,Enterprise AWS,USD,2026-08-31,2026-08-01,Usage,,Amazon Simple Storage Service usage,Usage,2026-08-03 23:59:59,2026-08-03 00:00:00,,,,,2826,GB-Mo,65.19,0.023000,65.19,INV-AWS-202608,AWS,65.19,0.023000,OnDemand,2826,GB-Mo,AWS,AWS,us-east-1,us-east-1,arn:aws:s3:::marketing-assets-prod,marketing-assets-prod,AWS::S3::Bucket,Storage,Amazon Simple Storage Service,SKU-AWS-S3-STD,SKUP-SKU-AWS-S3-STD,sub-aws-marketing,marketing-ai,"{""team"": ""marketing-ai"", ""provider"": ""AWS"", ""env"": ""prod""}",rg-marketing-prod
us-east-1-a,118.31,BA-AWS-003,Enterprise AWS,USD,2026-08-31,2026-08-01,Usage,,Amazon Relational Database Service usage,Usage,2026-08-03 23:59:59,2026-08-03 00:00:00,,,,,24,Hours,118.31,5.000000,118.31,INV-AWS-202608,AWS,118.31,5.000000,OnDemand,24,Hours,AWS,AWS,us-east-1,us-east-1,arn:aws:rds:us-east-1:123456789012:db:marketing-db,marketing-db,AWS::RDS::DBInstance,Database,Amazon Relational Database Service,SKU-AWS-RDS-M5L,SKUP-SKU-AWS-RDS-M5L,sub-aws-marketing,marketing-ai,"{""team"": ""marketing-ai"", ""provider"": ""AWS"", ""env"": ""prod""}",rg-marketing-prod
us-ashburn-1-a,86.90,BA-OCI-004,Enterprise Oracle,USD,2026-08-31,2026-08-01,Usage,,OCI Compute usage,Usage,2026-08-03 23:59:59,2026-08-03 00:00:00,,,,,24,Hours,86.90,3.542000,86.90,INV-ORA-202608,Oracle,86.90,3.542000,OnDemand,24,Hours,Oracle,Oracle,us-ashburn-1,us-ashburn-1,ocid1.instance.oc1.iad.anuwcljrn7x01,oci-worker-01,oci:compute:instance,Compute,OCI Compute,SKU-OCI-E4-FLEX,SKUP-SKU-OCI-E4-FLEX,sub-oci-dw,data-platform,"{""team"": ""data-platform"", ""provider"": ""Oracle"", ""env"": ""prod""}",rg-oci-dw
us-central1-a,141.59,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Compute Engine usage,Usage,2026-08-04 23:59:59,2026-08-04 00:00:00,,,,,24,Hours,141.59,5.927000,141.59,INV-GOO-202608,Google,141.59,5.927000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/zones/us-central1-a/instances/analytics-worker-01,analytics-worker-01,compute/instance,Compute,Compute Engine,SKU-GCP-N2-01,SKUP-SKU-GCP-N2-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,279.58,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Compute Engine usage,Usage,2026-08-04 23:59:59,2026-08-04 00:00:00,,,,,24,Hours,279.58,11.854000,279.58,INV-GOO-202608,Google,279.58,11.854000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/zones/us-central1-a/instances/analytics-worker-02,analytics-worker-02,compute/instance,Compute,Compute Engine,SKU-GCP-E16-01,SKUP-SKU-GCP-E16-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,35.58,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Compute Engine usage,Usage,2026-08-04 23:59:59,2026-08-04 00:00:00,,,,,24,Hours,35.58,1.479000,35.58,INV-GOO-202608,Google,35.58,1.479000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/zones/us-central1-b/instances/batch-worker-01,batch-worker-01,compute/instance,Compute,Compute Engine,SKU-GCP-D2-01,SKUP-SKU-GCP-D2-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,46.63,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Cloud Storage usage,Usage,2026-08-04 23:59:59,2026-08-04 00:00:00,,,,,2300,GB-Mo,46.63,0.020000,46.63,INV-GOO-202608,Google,46.63,0.020000,OnDemand,2300,GB-Mo,Google,Google,us-central1,us-central1,projects/prod-analytics/buckets/analytics-lakehouse,analytics-lakehouse,storage/bucket,Storage,Cloud Storage,SKU-GCP-GCS-01,SKUP-SKU-GCP-GCS-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,93.30,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Cloud SQL usage,Usage,2026-08-04 23:59:59,2026-08-04 00:00:00,,,,,24,Hours,93.30,3.958000,93.30,INV-GOO-202608,Google,93.30,3.958000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/instances/analytics-db-01,analytics-db-01,sql/database,Database,Cloud SQL,SKU-GCP-SQL-01,SKUP-SKU-GCP-SQL-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
eastus-a,177.97,BA-AZ-002,Enterprise Microsoft,USD,2026-08-31,2026-08-01,Usage,,Virtual Machines usage,Usage,2026-08-04 23:59:59,2026-08-04 00:00:00,,,,,24,Hours,177.97,7.500000,177.97,INV-MIC-202608,Microsoft,177.97,7.500000,OnDemand,24,Hours,Microsoft,Microsoft,eastus,eastus,/subscriptions/sub-az-core-services/resourceGroups/rg-core-services/providers/Microsoft.Compute/virtualMachines/core-app-vm1,core-app-vm1,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,SKU-AZ-D4S,SKUP-SKU-AZ-D4S,sub-az-core-services,core-services,"{""team"": ""core-services"", ""provider"": ""Microsoft"", ""env"": ""prod""}",rg-core-services
